Matrice;Feature;TypePredominant;taux
Comparison_between_Argentine_provinces_and_countries_by_GDP_(PPP)_per_capita;Rank;IntegerValue;1.0
Comparison_between_Argentine_provinces_and_countries_by_GDP_(PPP)_per_capita;Intl   ;IntegerValue;1.0
Comparison_between_Argentine_provinces_and_countries_by_GDP_(PPP)_per_capita;Country and (Argentine provinces);StringValue;0.9953488372093023
