Matrice;Feature;TypePredominant;taux
Comparison_of_PSA_systems;Integration;StringValue;1.0
Comparison_of_PSA_systems;System;StringValue;0.9375
Comparison_of_PSA_systems;Platform;StringValue;1.0
Comparison_of_PSA_systems;Features;StringValue;0.9911504424778761
Comparison_of_PSA_systems;First Release Date;IntegerValue;1.0
Comparison_of_PSA_systems;License;StringValue;1.0
Comparison_of_PSA_systems;Creator;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Efficiency;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Difficulty of production;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Difficulty of repair;NA;1.0
Comparison_of_pumps   Direct lift devices;Size of device;NA;1.0
Comparison_of_pumps   Direct lift devices;Production cost;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Maximum lift height;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Pump type;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Cyclic continuous  ;StringValue;1.0
Comparison_of_pumps   Direct lift devices;Fabrication requirements;NA;1.0
Comparison_of_pumps   Direct lift devices;Suction lift  ;BooleanValue;1.0
Comparison_of_pumps   Direct lift devices;Durability;NA;1.0
Comparison_of_pumps   Direct lift devices;Output;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Production cost;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Durability;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Cyclic continuous  ;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Efficiency;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Pump type;StringValue;0.9166666666666666
Comparison_of_pumps   Displacement pumps;Size of device;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Suction lift  ;BooleanValue;1.0
Comparison_of_pumps   Displacement pumps;Difficulty of production;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Maximum lift height;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Output;StringValue;1.0
Comparison_of_pumps   Displacement pumps;Fabrication requirements;NA;1.0
Comparison_of_pumps   Displacement pumps;Difficulty of repair;StringValue;1.0
Comparison_of_pumps   Velocity pumps;Maximum lift height;StringValue;1.0
Comparison_of_pumps   Velocity pumps;Suction lift  ;BooleanValue;1.0
Comparison_of_pumps   Velocity pumps;Efficiency;StringValue;1.0
Comparison_of_pumps   Velocity pumps;Difficulty of repair;NA;1.0
Comparison_of_pumps   Velocity pumps;Difficulty of production;StringValue;1.0
Comparison_of_pumps   Velocity pumps;Size of device;NA;1.0
Comparison_of_pumps   Velocity pumps;Pump type;StringValue;0.9090909090909091
Comparison_of_pumps   Velocity pumps;Durability;NA;1.0
Comparison_of_pumps   Velocity pumps;Cyclic continuous  ;StringValue;1.0
Comparison_of_pumps   Velocity pumps;Production cost;StringValue;1.0
Comparison_of_pumps   Velocity pumps;Fabrication requirements;NA;1.0
Comparison_of_pumps   Velocity pumps;Output;StringValue;1.0
Comparison_of_pumps   Buoyancy pumps;Difficulty of production;StringValue;1.0
Comparison_of_pumps   Buoyancy pumps;Difficulty of repair;NA;1.0
Comparison_of_pumps   Buoyancy pumps;Maximum lift height;StringValue;1.0
Comparison_of_pumps   Buoyancy pumps;Efficiency;StringValue;1.0
Comparison_of_pumps   Buoyancy pumps;Fabrication requirements;NA;1.0
Comparison_of_pumps   Buoyancy pumps;Suction lift  ;BooleanValue;1.0
Comparison_of_pumps   Buoyancy pumps;Output;StringValue;1.0
Comparison_of_pumps   Buoyancy pumps;Production cost;StringValue;1.0
Comparison_of_pumps   Buoyancy pumps;Pump type;StringValue;1.0
Comparison_of_pumps   Buoyancy pumps;Cyclic continuous  ;NA;1.0
Comparison_of_pumps   Buoyancy pumps;Durability;NA;1.0
Comparison_of_pumps   Buoyancy pumps;Size of device;NA;1.0
Comparison_of_pumps   Impulse pumps;Fabrication requirements;Conditional;1.0
Comparison_of_pumps   Impulse pumps;Durability;StringValue;1.0
Comparison_of_pumps   Impulse pumps;Suction lift  ;BooleanValue;1.0
Comparison_of_pumps   Impulse pumps;Production cost;StringValue;1.0
Comparison_of_pumps   Impulse pumps;Difficulty of production;StringValue;1.0
Comparison_of_pumps   Impulse pumps;Efficiency;StringValue;1.0
Comparison_of_pumps   Impulse pumps;Output;StringValue;1.0
Comparison_of_pumps   Impulse pumps;Difficulty of repair;NA;1.0
Comparison_of_pumps   Impulse pumps;Cyclic continuous  ;StringValue;1.0
Comparison_of_pumps   Impulse pumps;Maximum lift height;StringValue;1.0
Comparison_of_pumps   Impulse pumps;Pump type;StringValue;1.0
Comparison_of_pumps   Impulse pumps;Size of device;NA;1.0
Comparison_of_PVR_software_packages   General information;Prices;StringValue;0.9333333333333333
Comparison_of_PVR_software_packages   General information;License;StringValue;1.0
Comparison_of_PVR_software_packages   General information;Latest stable release;StringValue;0.6190476190476191
Comparison_of_PVR_software_packages   General information;BSD;BooleanValue;1.0
Comparison_of_PVR_software_packages   General information;Windows;BooleanValue;0.9411764705882353
Comparison_of_PVR_software_packages   General information;Name;StringValue;0.8888888888888888
Comparison_of_PVR_software_packages   General information;Android;BooleanValue;1.0
Comparison_of_PVR_software_packages   General information;Linux;BooleanValue;1.0
Comparison_of_PVR_software_packages   General information;Macintosh;BooleanValue;1.0
Comparison_of_PVR_software_packages   General information;Notes;StringValue;1.0
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;MediaPhoenix ShowShifter;BooleanValue;0.9090909090909091
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;MythTV;BooleanValue;0.6666666666666666
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;SageTV;StringValue;0.5294117647058824
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;Windows Media Center;BooleanValue;0.6111111111111112
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;VBox TV;BooleanValue;0.8571428571428571
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;CenterStage;BooleanValue;1.0
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;EyeTV;BooleanValue;0.6428571428571429
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;NextPVR;BooleanValue;0.8
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;Video Disk Recorder;BooleanValue;0.7333333333333333
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;Beyond TV;BooleanValue;1.0
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;Kodi (formerly XBMC);StringValue;0.7333333333333333
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;MediaPortal;BooleanValue;0.5625
Comparison_of_PVR_software_packages   Digital Personal Video Recorder (DVR PVR) features;DVR;StringValue;0.9565217391304348
Comparison_of_PVR_software_packages   Video format support;DVR;StringValue;0.9166666666666666
Comparison_of_PVR_software_packages   Video format support;WMV;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;H 264 MPEG 4 AVC (MPEG 4 Part 10);BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;AVI;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;ASF;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;HEVC (H 265);BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;MPEG 4 ASP (MPEG 4 Part 2)  i e  DivX  XviD;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;VP8;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;MPEG 2;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;MKV;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;VP9;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;QuickTime;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;MPEG 1;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;MP4;BooleanValue;1.0
Comparison_of_PVR_software_packages   Video format support;RealVideo;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;Kodi (formerly XBMC);BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;VBox TV;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;MediaPhoenix ShowShifter;NA;1.0
Comparison_of_PVR_software_packages    Network support ;MediaPortal;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;EyeTV;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;MythTV;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;GB PVR;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;Beyond TV;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;Windows Media Center;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;SageTV;BooleanValue;1.0
Comparison_of_PVR_software_packages    Network support ;DVR;StringValue;1.0
Comparison_of_PVR_software_packages    Network support ;Arcsoft TotalMedia Theatre;BooleanValue;1.0
Comparison_of_radio_systems   Table;Digital subchannel;Conditional;0.75
Comparison_of_radio_systems   Table;Type;StringValue;0.875
Comparison_of_radio_systems   Table;SFN;BooleanValue;0.5714285714285714
Comparison_of_radio_systems   Table;Products;NA;1.0
Comparison_of_radio_systems   Table;Data rate;StringValue;1.0
Comparison_of_radio_systems   Table;Modulation;Conditional;0.5714285714285714
Comparison_of_radio_systems   Table;Ch  Bandwidth (KHz);StringValue;0.7777777777777778
Comparison_of_radio_systems   Table;Radio spectrum;StringValue;0.6842105263157895
Comparison_of_radio_systems   Table;Metadata RDS RBDS;BooleanValue;0.5714285714285714
Comparison_of_radio_systems   Table;System;StringValue;1.0
Comparison_of_radio_systems   Table;Sidebands ;NA;1.0
Comparison_of_radio_systems   Table;Sound Codec;StringValue;1.0
Comparison_of_raster to vector_conversion_software    General information ;Creator;StringValue;1.0
Comparison_of_raster to vector_conversion_software    General information ;Released;IntegerValue;0.9090909090909091
Comparison_of_raster to vector_conversion_software    General information ;Supported OS (without emulation);StringValue;0.9473684210526315
Comparison_of_raster to vector_conversion_software    General information ;List price (USD);StringValue;0.9333333333333333
Comparison_of_raster to vector_conversion_software    General information ;License;StringValue;1.0
Comparison_of_raster to vector_conversion_software    General information ;Latest version;StringValue;0.45454545454545453
Comparison_of_raster to vector_conversion_software    Basic features ;Color management for print;BooleanValue;0.8333333333333334
Comparison_of_raster to vector_conversion_software    Basic features ;Raster 2 Vector;BooleanValue;0.5
Comparison_of_raster to vector_conversion_software    Basic features ;Scripting support;BooleanValue;0.8333333333333334
Comparison_of_raster to vector_conversion_software    Basic features ;NAME;StringValue;1.0
Comparison_of_raster to vector_conversion_software    Basic features ;Object limit per document;StringValue;1.0
Comparison_of_raster to vector_conversion_software    Basic features ;Control point limit;StringValue;1.0
Comparison_of_raster to vector_conversion_software    Basic features ;Adjust Image (functions);BooleanValue;0.5
Comparison_of_raster to vector_conversion_software    Basic features ;Text Recognition (OCR);BooleanValue;0.8333333333333334
Comparison_of_raster to vector_conversion_software    Basic features ;Thumbnails;BooleanValue;0.5
Comparison_of_raster to vector_conversion_software    Basic features ;Maximum zoom;StringValue;1.0
Comparison_of_raster to vector_conversion_software    AutoCAD features ;NAME;StringValue;1.0
Comparison_of_raster to vector_conversion_software    AutoCAD features ;Scan2CAD;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    AutoCAD features ;Illustrator;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    AutoCAD features ;Potrace;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    AutoCAD features ;Freehand;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    AutoCAD features ;Easy Trace;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    Raster editing features ;Potrace;NA;1.0
Comparison_of_raster to vector_conversion_software    Raster editing features ;Freehand;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    Raster editing features ;Illustrator;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    Raster editing features ;Scan2CAD;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    Raster editing features ;Easy Trace;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    Vector editing features ;Freehand;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    Vector editing features ;Potrace;NA;1.0
Comparison_of_raster to vector_conversion_software    Vector editing features ;Easy Trace;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    Vector editing features ;Illustrator;BooleanValue;1.0
Comparison_of_raster to vector_conversion_software    Vector editing features ;Scan2CAD;BooleanValue;1.0
Comparison_of_raster_graphics_editors    List ;Proprietary software;NA;1.0
Comparison_of_raster_graphics_editors    List ;Free and open source software;NA;1.0
Comparison_of_raster_graphics_editors    List ;Online w  App;NA;1.0
Comparison_of_raster_graphics_editors    List ;Discontinued;NA;1.0
Comparison_of_raster_graphics_editors    General information ;First public release date;StringValue;0.48717948717948717
Comparison_of_raster_graphics_editors    General information ;Description;StringValue;0.993421052631579
Comparison_of_raster_graphics_editors    General information ;Software license;StringValue;1.0
Comparison_of_raster_graphics_editors    General information ;Creator;StringValue;0.97
Comparison_of_raster_graphics_editors    General information ;Latest stable version;StringValue;0.47674418604651164
Comparison_of_raster_graphics_editors    Operating system support ;Linux;BooleanValue;0.9761904761904762
Comparison_of_raster_graphics_editors    Operating system support ;Other;BooleanValue;0.8409090909090909
Comparison_of_raster_graphics_editors    Operating system support ;Unix;BooleanValue;0.9882352941176471
Comparison_of_raster_graphics_editors    Operating system support ;Windows;BooleanValue;0.9764705882352941
Comparison_of_raster_graphics_editors    Operating system support ;AmigaOS;BooleanValue;0.9529411764705882
Comparison_of_raster_graphics_editors    Operating system support ;BSD;BooleanValue;0.9882352941176471
Comparison_of_raster_graphics_editors    Operating system support ;OS X;BooleanValue;0.9761904761904762
Comparison_of_raster_graphics_editors    Features ;PhotoPerfect;BooleanValue;1.0
Comparison_of_raster_graphics_editors    Features ;Side Effects Houdini;BooleanValue;1.0
Comparison_of_raster_graphics_editors    Features ;Microsoft Paint;BooleanValue;1.0
